impl,config,mesh_file,mesh_display,grid_res,num_triangles,runs,mean_ms,stdev_ms,min_ms,max_ms,speedup_vs_seq
pthreads,pth_1t,data/guitar_0001.off,guitar_0001.off,64,11325,3,4.480721,0.188047,4.370784,4.697853,0.861840
pthreads,pth_4t,data/guitar_0001.off,guitar_0001.off,64,11325,3,1.813406,0.754139,1.368569,2.684142,2.129508
pthreads,pth_8t,data/guitar_0001.off,guitar_0001.off,64,11325,3,2.157765,0.845750,1.338749,3.027927,1.789658
mpi,mpi_1p,data/guitar_0001.off,guitar_0001.off,64,11325,3,4.801364,1.332372,4.013479,6.339703,0.804285
mpi,mpi_4p,data/guitar_0001.off,guitar_0001.off,64,11325,3,4.291495,0.726903,3.789066,5.124999,0.899841
mpi,mpi_8p,data/guitar_0001.off,guitar_0001.off,64,11325,3,6.244371,3.157116,3.607406,9.742806,0.618423
cuda,cuda_64tpb,data/guitar_0001.off,guitar_0001.off,64,11325,3,0.531776,0.131695,0.442368,0.683008,7.261823
cuda,cuda_128tpb,data/guitar_0001.off,guitar_0001.off,64,11325,3,0.482603,0.072872,0.433024,0.566272,8.001744
cuda,cuda_256tpb,data/guitar_0001.off,guitar_0001.off,64,11325,3,0.545109,0.208384,0.403456,0.784384,7.084199
sequential,seq_1t,data/lamp_0001.off,lamp_0001.off,64,15328,3,9.411324,0.182841,9.289788,9.621599,1.000000
openmp,omp_1t,data/lamp_0001.off,lamp_0001.off,64,15328,3,9.543007,0.399282,9.132383,9.929887,0.986201
openmp,omp_4t,data/lamp_0001.off,lamp_0001.off,64,15328,3,4.484756,1.507858,3.316198,6.186840,2.098514
openmp,omp_8t,data/lamp_0001.off,lamp_0001.off,64,15328,3,7.231442,2.172876,5.178276,9.506933,1.301445
pthreads,pth_1t,data/lamp_0001.off,lamp_0001.off,64,15328,3,11.536024,0.557992,11.152258,12.176123,0.815820
pthreads,pth_4t,data/lamp_0001.off,lamp_0001.off,64,15328,3,9.435180,0.253241,9.143175,9.594633,0.997472
pthreads,pth_8t,data/lamp_0001.off,lamp_0001.off,64,15328,3,9.908305,1.007992,8.912764,10.928303,0.949842
mpi,mpi_1p,data/lamp_0001.off,lamp_0001.off,64,15328,3,9.619861,0.279799,9.377363,9.925998,0.978322
mpi,mpi_4p,data/lamp_0001.off,lamp_0001.off,64,15328,3,5.366818,0.676183,4.733593,6.079022,1.753613
mpi,mpi_8p,data/lamp_0001.off,lamp_0001.off,64,15328,3,4.010722,0.621733,3.553188,4.718601,2.346541
cuda,cuda_64tpb,data/lamp_0001.off,lamp_0001.off,64,15328,3,3.010549,0.496632,2.720768,3.584000,3.126115
cuda,cuda_128tpb,data/lamp_0001.off,lamp_0001.off,64,15328,3,2.381120,0.034080,2.342912,2.408384,3.952478
cuda,cuda_256tpb,data/lamp_0001.off,lamp_0001.off,64,15328,3,2.393035,0.016676,2.378752,2.411360,3.932799
sequential,seq_1t,data/person_0001.off,person_0001.off,64,22509,3,9.778566,0.702330,9.354480,10.589258,1.000000
openmp,omp_1t,data/person_0001.off,person_0001.off,64,22509,3,9.715609,0.285337,9.539612,10.044825,1.006480
